id,c1_high,c2_high,c3_high,c4_high,water_diff
1,1.4,3.7,13.8,18,-15.08371
2,1.4,3.7,13.8,18,-15.08371
3,99.9,99.9,4.6,9.1,22.71174
4,99.9,99.9,4.6,9.1,22.71174
5,99.9,99.9,4.6,9.1,22.71174
6,99.9,99.9,4.2,8.7,27.41341
7,99.9,99.9,4.2,8.7,27.41341
8,99.9,99.9,4.7,9.7,23.66623
9,99.9,99.9,4.7,9.7,23.66623
10,99.9,99.9,4.7,9.7,23.66623
11,1.5,4,14.3,18.6,-5.6053
12,99.9,99.9,99.9,99.9,89.81707
13,99.9,99.9,99.9,99.9,89.81707
14,99.9,99.9,99.9,99.9,108.98113
15,99.9,99.9,99.9,99.9,108.98113
16,99.9,99.9,99.9,99.9,108.98113
17,99.9,99.9,99.9,99.9,85.79977
18,99.9,99.9,4.3,9.1,-14.84291
19,99.9,99.9,4.3,9.1,-14.84291
20,99.9,99.9,4.3,9.1,63.3139
21,99.9,99.9,99.9,99.9,104.05303
22,99.9,99.9,99.9,99.9,104.05303
23,99.9,99.9,4.5,9.2,1.50899
24,99.9,3.5,8.1,13,6.59078
25,2,4.7,15.4,20.2,-0.80634
26,2,4.7,15.4,20.2,-0.80634
27,99.9,5.9,11.4,16.2,-9.48424
28,99.9,2.1,10.4,14.7,3.79504
29,99.9,2.1,10.4,14.7,3.79504
30,99.9,99.9,4.5,9.2,18.60875
31,99.9,99.9,4.5,9.2,18.60875
32,99.9,0.8,10.4,14.9,-10.64999
33,99.9,0.8,10.4,14.9,-10.64999
34,99.9,99.9,1.2,6,47.8602
35,99.9,0.9,10.7,15.4,-9.12182
36,99.9,99.9,4.5,9.2,7.4677
37,99.9,99.9,4.5,9.2,7.4677
38,99.9,99.9,1.2,6,51.02563
39,99.9,99.9,1.2,6,51.02563
40,99.9,99.9,99.9,0,55.11136
41,99.9,99.9,99.9,0,55.11136
42,99.9,2.3,10.6,15,-3.11214
43,6.9,10.2,13.4,18.2,1.17644
44,6.9,10.2,13.4,18.2,1.17644
45,3.3,5.5,15,19.6,-9.00119
46,3.3,5.5,15,19.6,-9.00119
47,99.9,99.9,4.3,9.1,-7.79649
48,99.9,99.9,4.3,9.1,-7.79649
49,99.9,99.9,4.3,9.1,-7.79649
50,99.9,99.9,0.2,4.8,13.29621
51,99.9,99.9,0.2,4.8,13.29621
52,99.9,99.9,0.2,4.8,13.29621
53,99.9,99.9,1.2,6,44.19375
54,99.9,99.9,1.2,6,44.19375
55,99.9,99.9,1.2,6,44.19375
56,99.9,99.9,1.2,6,39.25733
57,99.9,99.9,4.5,9.2,19.48762
58,99.9,99.9,99.9,99.9,68.09785
59,99.9,99.9,99.9,99.9,68.09785
60,99.9,99.9,99.9,99.9,68.09785
61,99.9,99.9,99.9,99.9,68.09785
62,99.9,99.9,0.5,5.4,39.01511
63,99.9,99.9,0.5,5.4,39.01511
64,99.9,99.9,4.3,9.1,2.1043
65,99.9,99.9,4.3,9.1,2.1043
66,99.9,99.9,4.5,9.2,16.39921
67,99.9,99.9,4.5,9.2,16.39921
68,99.9,1.5,8.3,13.1,5.23283
69,99.9,1.5,8.3,13.1,5.23283
70,99.9,1.5,8.3,13.1,5.23283
71,99.9,99.9,0.6,5.5,21.89533
72,99.9,99.9,0.6,5.5,21.89533
73,99.9,99.9,99.9,99.9,100.36834
74,99.9,99.9,99.9,99.9,100.36834
75,99.9,99.9,99.9,99.9,70.60853
76,99.9,99.9,99.9,99.9,70.60853
77,3.9,6.5,16.7,21.6,1.24255
78,3.3,5.4,12.6,16.9,-7.29313
79,3.3,5.4,12.6,16.9,-7.29313
80,3.3,5.4,12.6,16.9,-7.29313
81,99.9,0.8,10.4,14.9,-9.63767
82,99.9,0.8,10.4,14.9,-9.63767
83,2.3,4.1,13.7,18.2,-2.32291
84,2.6,5,14.3,18.8,-7.10532
85,2.6,5,14.3,18.8,-7.10532
86,2.6,5,14.3,18.8,-7.10532
87,1.6,4.1,13.2,17.6,13.52093
88,1.6,4.1,13.2,17.6,13.52093
89,99.9,99.9,1.2,6,35.13309
90,3.9,6.5,16.7,21.6,-14.9206
91,3.9,6.5,16.7,21.6,-14.9206
92,99.9,99.9,4.5,9.2,19.94584
93,99.9,99.9,4.5,9.2,19.94584
94,99.9,99.9,5.9,10.4,12.05824
95,99.9,99.9,5.9,10.4,12.05824
96,99.9,1.7,7.1,11.8,10.14941
97,99.9,1.7,7.1,11.8,10.14941
98,99.9,0.5,9.6,13.9,-10.05263
99,99.9,0.5,9.6,13.9,-10.05263
100,99.9,99.9,99.9,99.9,73.65484
101,99.9,99.9,1.2,6,34.27647
102,99.9,99.9,1.2,6,34.27647
103,99.9,99.9,1.2,6,34.27647
104,99.9,99.9,0.6,5.5,79.32991
105,99.9,99.9,0.6,5.5,79.32991
106,99.9,0.9,10.7,15.4,0.87816
107,99.9,99.9,5.9,10.4,20.52629
108,99.9,99.9,5.9,10.4,20.52629
