fsid,tractfp,arealotacres,areabuilding,bedroomscount,yearbuilt,unitscount,beachprox,fld_zone,near_golf,singfam,x,y
240472086092,24047950600,0.2137282,1133,0,1984,1,1,AE,0,1,-75.138926115869,38.3920173234802
240472086093,24047950600,0.2238292,864,0,1978,1,0,X,1,1,-75.1659203893891,38.3828555299029
240472086097,24047951100,0.1721763,1148,0,1990,1,0,X,0,1,-75.1628691231124,38.3660410712115
240472086099,24047950700,0.3524793,2104,0,1999,1,0,X,1,1,-75.1774784550946,38.3953468118632
240472086101,24047950600,0.2321396,1120,0,1975,1,1,X,0,1,-75.154434524214,38.3966155706779
240472086102,24047950800,7.1699954,9358,0,1999,1,0,X,1,0,-75.2375933859341,38.31736968462
240472086103,24047950800,0.4591368,1926,0,2005,0,0,X,0,1,-75.2305075781285,38.3222561858902
240472086104,24047951000,0.2339073,1476,0,2005,0,0,X,0,1,-75.2081329064576,38.320321298997
240472086106,24047950600,0.3487603,1300,0,1975,1,1,X,0,1,-75.1566208276692,38.3907951971186
240472086107,24047950600,0.2238292,1804,0,1997,1,1,X,1,1,-75.1632103810655,38.3924753435155
240472086109,24047951000,0.8449495,3262,0,1908,1,0,X,0,1,-75.221331023619,38.3227534689811
240472086113,24047950700,0.2758264,1196,0,1978,1,1,X,0,1,-75.1560054684282,38.4003778895211
240472086114,24047951700,0.2298898,2395,0,2004,1,0,X,0,1,-75.1244114973056,38.3290808129402
240472086115,24047950700,0.0433884,2471,0,1989,1,1,X,0,1,-75.1683517491652,38.405932428456
240472086117,24047951700,2.7199954,1512,0,1950,1,1,X,0,1,-75.1296793958547,38.3346636020865
240472086118,24047950400,0.2694904,1992,0,2005,1,1,X,0,1,-75.1160503308614,38.347109541057
240472086119,24047950600,0.2225895,1200,0,1984,1,1,X,0,1,-75.1605349123789,38.3967111694369
240472086123,24047951100,0.2410468,1420,0,1993,1,1,X,0,1,-75.1322490003525,38.3805741728123
240472086124,24047950700,0.4995638,1284,0,1977,1,0,X,1,1,-75.1687945261798,38.3981705915657
240472086126,24047951100,0.1756198,1316,0,2000,1,1,X,0,1,-75.1476260965698,38.3804065114285
240472086128,24047950600,0.2568182,1297,0,1993,1,1,X,0,1,-75.1569404878861,38.3958090396826
240472086134,24047950700,0.233494,1460,0,1994,1,0,X,1,1,-75.1671988017125,38.3974575197637
240472086135,24047951000,0.2529155,1842,0,2006,0,0,X,0,1,-75.206070828808,38.3205007382106
240472086136,24047950900,0.1721763,5262,0,2006,1,1,X,0,1,-75.1509900206331,38.3519451438443
240472086137,24047951700,0.1572544,1544,0,1997,1,0,X,0,1,-75.1166434160982,38.3212980409489
240472086142,24047951100,0.2496556,1999,0,1992,1,1,X,0,1,-75.1287818066236,38.3803138822835
240472086144,24047951500,0.7,1525,0,1960,1,0,X,0,1,-75.577870747537,38.050822647526
240472086145,24047950600,0.2466713,1404,0,1973,1,1,X,0,1,-75.156051866006,38.389572739153
240472086149,24047951100,0.1721763,1310,0,1982,1,0,X,0,1,-75.1629471337726,38.371401602074
240472086150,24047950700,0.2219927,1380,0,1993,1,0,X,1,1,-75.1668804479899,38.3951643456605
240472086154,24047950800,2.7399908,4320,0,1987,1,0,X,0,0,-75.3011356879367,38.3177712763765
240472086155,24047950700,0.4701102,2202,0,1998,1,0,X,1,1,-75.170250447932,38.3957363730403
240472086159,24047950600,0.1767677,1232,0,1992,1,1,X,0,1,-75.1574484818126,38.3955275657631
240472086160,24047951000,0.3326217,3176,0,2006,0,0,X,0,1,-75.2073722156112,38.3175434219369
240472086163,24047950700,0.2238292,2094,0,2000,1,0,X,1,1,-75.1801276639875,38.3870138065175
240472086167,24047950600,0.2513774,1869,0,1980,1,1,X,0,1,-75.1564320047436,38.3892409941242
240472086170,24047950600,0.2589073,1584,0,1973,1,1,X,0,1,-75.1609814211776,38.3955431243406
